,Date,Paris,Paris_weather,Paris_min,Paris_max,Paris_avg,Versailles,Versailles_weather,Versailles_min,Versailles_max,Versailles_avg,Melun,Melun_weather,Melun_min,Melun_max,Fontainebleau,Fontainebleau_weather,Fontainebleau_min,Fontainebleau_max,Fontainebleau_avg,Cergy,Cergy_weather,Cergy_min,Cergy_max,Cergy_avg
0,01/01/2018,7°C/9°C,2,7,9,8.0,7°C/9°C,2,7,9,8.0,7°C/9°C,2,7,9,7°C/9°C,2,7,9,8.0,7°C/9°C,2,7,9,8.0
1,02/01/2018,5°C/11°C,2,5,11,8.0,5°C/11°C,2,5,11,8.0,5°C/11°C,2,5,11,5°C/11°C,2,5,11,8.0,5°C/11°C,2,5,11,8.0
2,03/01/2018,9°C/15°C,2,9,15,12.0,8°C/15°C,3,8,15,11.5,9°C/15°C,2,9,15,8°C/15°C,2,8,15,11.5,9°C/15°C,3,9,15,12.0
3,04/01/2018,10°C/14°C,2,10,14,12.0,9°C/14°C,2,9,14,11.5,8°C/14°C,2,8,14,11°C/14°C,2,11,14,12.5,13°C/14°C,2,13,14,13.5
4,05/01/2018,8°C/11°C,2,8,11,9.5,7°C/10°C,3,7,10,8.5,8°C/10°C,2,8,10,8°C/10°C,2,8,10,9.0,9°C/10°C,3,9,10,9.5
5,06/01/2018,6°C/7°C,2,6,7,6.5,6°C/7°C,2,6,7,6.5,6°C/7°C,2,6,7,6°C/7°C,2,6,7,6.5,6°C/7°C,2,6,7,6.5
6,07/01/2018,6°C/7°C,2,6,7,6.5,5°C/7°C,2,5,7,6.0,6°C/7°C,2,6,7,6°C/7°C,2,6,7,6.5,5°C/6°C,2,5,6,5.5
7,08/01/2018,5°C/8°C,3,5,8,6.5,4°C/7°C,3,4,7,5.5,5°C/8°C,2,5,8,5°C/8°C,2,5,8,6.5,5°C/7°C,3,5,7,6.0
8,09/01/2018,5°C/8°C,2,5,8,6.5,4°C/8°C,2,4,8,6.0,5°C/8°C,2,5,8,5°C/8°C,2,5,8,6.5,4°C/7°C,2,4,7,5.5
9,10/01/2018,7°C/8°C,2,7,8,7.5,6°C/8°C,2,6,8,7.0,6°C/8°C,2,6,8,6°C/8°C,2,6,8,7.0,7°C/8°C,2,7,8,7.5
10,11/01/2018,5°C/7°C,2,5,7,6.0,5°C/7°C,2,5,7,6.0,5°C/7°C,2,5,7,5°C/7°C,2,5,7,6.0,5°C/7°C,3,5,7,6.0
11,12/01/2018,4°C/5°C,3,4,5,4.5,3°C/5°C,3,3,5,4.0,4°C/6°C,3,4,6,4°C/6°C,3,4,6,5.0,4°C/5°C,3,4,5,4.5
12,13/01/2018,3°C/6°C,3,3,6,4.5,3°C/6°C,3,3,6,4.5,3°C/6°C,3,3,6,3°C/6°C,3,3,6,4.5,3°C/6°C,3,3,6,4.5
13,14/01/2018,2°C/7°C,3,2,7,4.5,2°C/7°C,3,2,7,4.5,3°C/8°C,3,3,8,3°C/8°C,3,3,8,5.5,2°C/7°C,3,2,7,4.5
14,15/01/2018,5°C/9°C,2,5,9,7.0,5°C/9°C,2,5,9,7.0,5°C/9°C,2,5,9,5°C/9°C,2,5,9,7.0,5°C/9°C,2,5,9,7.0
15,16/01/2018,7°C/10°C,2,7,10,8.5,6°C/9°C,2,6,9,7.5,7°C/9°C,2,7,9,7°C/9°C,2,7,9,8.0,6°C/9°C,3,6,9,7.5
16,17/01/2018,5°C/7°C,3,5,7,6.0,4°C/7°C,3,4,7,5.5,4°C/7°C,3,4,7,4°C/7°C,3,4,7,5.5,5°C/7°C,3,5,7,6.0
17,18/01/2018,8°C/11°C,2,8,11,9.5,7°C/11°C,2,7,11,9.0,10°C/11°C,2,10,11,8°C/11°C,2,8,11,9.5,10°C/11°C,2,10,11,10.5
18,19/01/2018,5°C/7°C,3,5,7,6.0,4°C/7°C,2,4,7,5.5,5°C/7°C,2,5,7,4°C/7°C,2,4,7,5.5,5°C/7°C,3,5,7,6.0
19,20/01/2018,5°C/10°C,2,5,10,7.5,6°C/11°C,2,6,11,8.5,5°C/11°C,2,5,11,5°C/11°C,2,5,11,8.0,6°C/10°C,2,6,10,8.0
20,21/01/2018,5°C/10°C,2,5,10,7.5,6°C/11°C,2,6,11,8.5,5°C/11°C,2,5,11,5°C/11°C,2,5,11,8.0,5°C/11°C,2,5,11,8.0
21,22/01/2018,8°C/12°C,2,8,12,10.0,8°C/13°C,2,8,13,10.5,10°C/13°C,1,10,13,8°C/13°C,1,8,13,10.5,10°C/13°C,2,10,13,11.5
22,23/01/2018,7°C/11°C,2,7,11,9.0,7°C/11°C,2,7,11,9.0,7°C/11°C,2,7,11,7°C/11°C,2,7,11,9.0,7°C/12°C,2,7,12,9.5
23,24/01/2018,11°C/12°C,2,11,12,11.5,11°C/11°C,2,11,11,11.0,10°C/11°C,2,10,11,10°C/11°C,2,10,11,10.5,11°C/12°C,2,11,12,11.5
24,25/01/2018,8°C/11°C,2,8,11,9.5,7°C/11°C,2,7,11,9.0,8°C/11°C,2,8,11,7°C/11°C,2,7,11,9.0,9°C/11°C,2,9,11,10.0
25,26/01/2018,5°C/9°C,3,5,9,7.0,4°C/9°C,3,4,9,6.5,5°C/8°C,3,5,8,5°C/8°C,3,5,8,6.5,4°C/9°C,3,4,9,6.5
26,27/01/2018,4°C/8°C,3,4,8,6.0,4°C/8°C,3,4,8,6.0,4°C/7°C,3,4,7,4°C/7°C,3,4,7,5.5,4°C/8°C,3,4,8,6.0
27,28/01/2018,7°C/10°C,2,7,10,8.5,8°C/10°C,2,8,10,9.0,6°C/9°C,2,6,9,6°C/9°C,2,6,9,7.5,9°C/10°C,2,9,10,9.5
28,29/01/2018,9°C/11°C,2,9,11,10.0,9°C/11°C,2,9,11,10.0,9°C/11°C,2,9,11,9°C/11°C,2,9,11,10.0,9°C/10°C,2,9,10,9.5
29,30/01/2018,8°C/10°C,2,8,10,9.0,8°C/10°C,2,8,10,9.0,8°C/10°C,2,8,10,8°C/10°C,2,8,10,9.0,8°C/10°C,2,8,10,9.0
30,31/01/2018,8°C/9°C,2,8,9,8.5,7°C/9°C,2,7,9,8.0,8°C/9°C,2,8,9,8°C/9°C,2,8,9,8.5,7°C/9°C,2,7,9,8.0
31,01/02/2018,4°C/7°C,3,4,7,5.5,3°C/7°C,3,3,7,5.0,3°C/7°C,3,3,7,3°C/7°C,3,3,7,5.0,4°C/7°C,2,4,7,5.5
32,02/02/2018,3°C/6°C,2,3,6,4.5,3°C/7°C,2,3,7,5.0,3°C/6°C,2,3,6,3°C/6°C,2,3,6,4.5,3°C/6°C,2,3,6,4.5
33,03/02/2018,3°C/5°C,2,3,5,4.0,3°C/4°C,2,3,4,3.5,3°C/5°C,2,3,5,3°C/5°C,2,3,5,4.0,3°C/5°C,2,3,5,4.0
34,04/02/2018,1°C/3°C,3,1,3,2.0,0°C/3°C,3,0,3,1.5,2°C/3°C,2,2,3,0°C/3°C,2,0,3,1.5,2°C/4°C,3,2,4,3.0
35,05/02/2018,-1°C/3°C,2,-1,3,1.0,-1°C/2°C,2,-1,2,0.5,-1°C/3°C,2,-1,3,-1°C/3°C,2,-1,3,1.0,-1°C/3°C,2,-1,3,1.0
36,06/02/2018,-1°C/1°C,2,-1,1,0.0,-2°C/1°C,2,-2,1,-0.5,0°C/1°C,2,0,1,-1°C/1°C,2,-1,1,0.0,-1°C/1°C,2,-1,1,0.0
37,07/02/2018,-3°C/-0°C,2,-3,-0,-1.5,-5°C/0°C,2,-5,0,-2.5,-1°C/0°C,2,-1,0,-2°C/-0°C,2,-2,-0,-1.0,-2°C/1°C,2,-2,1,-0.5
38,08/02/2018,-4°C/1°C,3,-4,1,-1.5,-4°C/0°C,3,-4,0,-2.0,-4°C/0°C,3,-4,0,-4°C/-0°C,3,-4,-0,-2.0,-3°C/1°C,2,-3,1,-1.0
39,09/02/2018,-3°C/1°C,2,-3,1,-1.0,-3°C/1°C,2,-3,1,-1.0,-3°C/1°C,2,-3,1,-3°C/1°C,2,-3,1,-1.0,-2°C/1°C,2,-2,1,-0.5
40,10/02/2018,-1°C/2°C,1,-1,2,0.5,-2°C/2°C,1,-2,2,0.0,-1°C/1°C,1,-1,1,-1°C/1°C,1,-1,1,0.0,-1°C/2°C,1,-1,2,0.5
41,11/02/2018,3°C/6°C,2,3,6,4.5,2°C/6°C,2,2,6,4.0,4°C/6°C,2,4,6,3°C/6°C,2,3,6,4.5,5°C/7°C,2,5,7,6.0
42,12/02/2018,1°C/5°C,3,1,5,3.0,0°C/5°C,3,0,5,2.5,1°C/5°C,3,1,5,1°C/5°C,3,1,5,3.0,1°C/6°C,3,1,6,3.5
43,13/02/2018,1°C/4°C,2,1,4,2.5,1°C/3°C,2,1,3,2.0,2°C/4°C,2,2,4,1°C/4°C,2,1,4,2.5,2°C/3°C,2,2,3,2.5
44,14/02/2018,1°C/5°C,2,1,5,3.0,1°C/4°C,2,1,4,2.5,1°C/5°C,2,1,5,1°C/5°C,2,1,5,3.0,1°C/5°C,2,1,5,3.0
45,15/02/2018,8°C/9°C,1,8,9,8.5,7°C/10°C,1,7,10,8.5,8°C/10°C,1,8,10,8°C/10°C,1,8,10,9.0,8°C/10°C,2,8,10,9.0
46,16/02/2018,5°C/9°C,2,5,9,7.0,5°C/9°C,2,5,9,7.0,5°C/9°C,3,5,9,5°C/9°C,3,5,9,7.0,5°C/9°C,3,5,9,7.0
47,17/02/2018,4°C/9°C,2,4,9,6.5,4°C/9°C,3,4,9,6.5,4°C/8°C,2,4,8,4°C/8°C,2,4,8,6.0,4°C/9°C,3,4,9,6.5
48,18/02/2018,4°C/8°C,3,4,8,6.0,4°C/9°C,3,4,9,6.5,4°C/8°C,3,4,8,4°C/8°C,3,4,8,6.0,4°C/9°C,3,4,9,6.5
49,19/02/2018,3°C/5°C,2,3,5,4.0,3°C/6°C,2,3,6,4.5,2°C/5°C,2,2,5,2°C/5°C,2,2,5,3.5,3°C/6°C,2,3,6,4.5
50,20/02/2018,3°C/7°C,2,3,7,5.0,3°C/7°C,3,3,7,5.0,3°C/6°C,2,3,6,3°C/6°C,2,3,6,4.5,3°C/6°C,3,3,6,4.5
51,21/02/2018,1°C/6°C,3,1,6,3.5,1°C/5°C,3,1,5,3.0,2°C/6°C,3,2,6,2°C/6°C,3,2,6,4.0,1°C/5°C,3,1,5,3.0
52,22/02/2018,0°C/5°C,3,0,5,2.5,0°C/5°C,3,0,5,2.5,0°C/5°C,3,0,5,0°C/5°C,3,0,5,2.5,0°C/5°C,3,0,5,2.5
53,23/02/2018,0°C/4°C,3,0,4,2.0,0°C/4°C,3,0,4,2.0,0°C/4°C,3,0,4,0°C/4°C,3,0,4,2.0,0°C/4°C,3,0,4,2.0
54,24/02/2018,0°C/5°C,3,0,5,2.5,0°C/5°C,3,0,5,2.5,0°C/5°C,3,0,5,0°C/5°C,3,0,5,2.5,0°C/5°C,3,0,5,2.5
55,25/02/2018,-1°C/3°C,3,-1,3,1.0,-1°C/3°C,3,-1,3,1.0,-1°C/3°C,3,-1,3,-1°C/3°C,3,-1,3,1.0,-1°C/3°C,3,-1,3,1.0
56,26/02/2018,-3°C/-0°C,3,-3,-0,-1.5,-3°C/-0°C,3,-3,-0,-1.5,-3°C/0°C,3,-3,0,-3°C/-0°C,3,-3,-0,-1.5,-3°C/-0°C,3,-3,-0,-1.5
57,27/02/2018,-4°C/-2°C,2,-4,-2,-3.0,-4°C/-2°C,3,-4,-2,-3.0,-4°C/-2°C,2,-4,-2,-4°C/-2°C,2,-4,-2,-3.0,-4°C/-2°C,3,-4,-2,-3.0
58,28/02/2018,-5°C/-1°C,2,-5,-1,-3.0,-5°C/-1°C,2,-5,-1,-3.0,-5°C/-1°C,3,-5,-1,-5°C/-1°C,3,-5,-1,-3.0,-5°C/-1°C,3,-5,-1,-3.0
59,01/03/2018,-2°C/3°C,2,-2,3,0.5,-1°C/3°C,2,-1,3,1.0,0°C/5°C,2,0,5,0°C/5°C,2,0,5,2.5,-2°C/2°C,2,-2,2,0.0
60,02/03/2018,2°C/8°C,2,2,8,5.0,2°C/8°C,2,2,8,5.0,3°C/8°C,3,3,8,3°C/8°C,3,3,8,5.5,1°C/8°C,2,1,8,4.5
61,03/03/2018,4°C/10°C,2,4,10,7.0,4°C/11°C,2,4,11,7.5,4°C/11°C,2,4,11,4°C/11°C,2,4,11,7.5,4°C/10°C,2,4,10,7.0
62,04/03/2018,5°C/7°C,2,5,7,6.0,5°C/7°C,2,5,7,6.0,6°C/8°C,2,6,8,6°C/8°C,2,6,8,7.0,5°C/7°C,2,5,7,6.0
63,05/03/2018,6°C/12°C,3,6,12,9.0,6°C/11°C,2,6,11,8.5,6°C/12°C,3,6,12,6°C/12°C,3,6,12,9.0,6°C/11°C,2,6,11,8.5
64,06/03/2018,6°C/11°C,2,6,11,8.5,6°C/11°C,2,6,11,8.5,7°C/11°C,2,7,11,7°C/11°C,2,7,11,9.0,6°C/11°C,2,6,11,8.5
65,07/03/2018,6°C/10°C,2,6,10,8.0,5°C/9°C,2,5,9,7.0,6°C/10°C,2,6,10,6°C/10°C,2,6,10,8.0,6°C/10°C,2,6,10,8.0
66,08/03/2018,7°C/9°C,2,7,9,8.0,6°C/9°C,2,6,9,7.5,7°C/10°C,3,7,10,7°C/10°C,3,7,10,8.5,7°C/8°C,2,7,8,7.5
