,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
0,01/03/2018,-2°C/3°C,-1°C/3°C,0°C/5°C,0°C/5°C,-2°C/2°C
1,02/03/2018,2°C/8°C,2°C/8°C,3°C/8°C,3°C/8°C,1°C/8°C
2,03/03/2018,4°C/10°C,4°C/11°C,4°C/11°C,4°C/11°C,4°C/10°C
3,04/03/2018,5°C/7°C,5°C/7°C,6°C/8°C,6°C/8°C,5°C/7°C
4,05/03/2018,6°C/12°C,6°C/11°C,6°C/12°C,6°C/12°C,6°C/11°C
5,06/03/2018,6°C/11°C,6°C/11°C,7°C/11°C,7°C/11°C,6°C/11°C
6,07/03/2018,6°C/10°C,5°C/9°C,6°C/10°C,6°C/10°C,6°C/10°C
7,08/03/2018,7°C/9°C,6°C/9°C,7°C/10°C,7°C/10°C,7°C/8°C
8,09/03/2018,7°C/14°C,8°C/14°C,8°C/14°C,8°C/14°C,7°C/14°C
9,10/03/2018,11°C/15°C,11°C/15°C,11°C/16°C,11°C/16°C,11°C/15°C
10,11/03/2018,13°C/17°C,12°C/16°C,13°C/17°C,12°C/17°C,12°C/17°C
11,12/03/2018,10°C/12°C,9°C/12°C,10°C/12°C,9°C/12°C,11°C/12°C
12,13/03/2018,9°C/12°C,7°C/12°C,9°C/12°C,9°C/12°C,9°C/12°C
13,14/03/2018,8°C/13°C,8°C/14°C,8°C/13°C,8°C/13°C,8°C/14°C
14,15/03/2018,9°C/13°C,9°C/13°C,8°C/13°C,8°C/13°C,9°C/13°C
15,16/03/2018,9°C/13°C,8°C/13°C,8°C/13°C,8°C/13°C,9°C/13°C
16,17/03/2018,3°C/7°C,3°C/7°C,5°C/7°C,3°C/7°C,4°C/7°C
17,18/03/2018,0°C/2°C,0°C/3°C,0°C/2°C,0°C/2°C,1°C/2°C
18,19/03/2018,0°C/3°C,0°C/3°C,0°C/3°C,0°C/3°C,0°C/3°C
19,20/03/2018,2°C/7°C,2°C/7°C,2°C/7°C,2°C/7°C,2°C/7°C
20,21/03/2018,4°C/8°C,2°C/7°C,3°C/8°C,3°C/8°C,4°C/7°C
21,22/03/2018,5°C/8°C,4°C/8°C,4°C/8°C,4°C/8°C,5°C/8°C
22,23/03/2018,5°C/6°C,5°C/7°C,1°C/6°C,5°C/6°C,5°C/8°C
23,24/03/2018,5°C/13°C,6°C/13°C,5°C/13°C,5°C/13°C,6°C/13°C
24,25/03/2018,10°C/14°C,9°C/14°C,10°C/14°C,10°C/14°C,10°C/14°C
25,26/03/2018,8°C/13°C,8°C/13°C,8°C/13°C,8°C/13°C,8°C/13°C
