,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
0,01/06/2019,22°C/31°C,21°C/29°C,21°C/28°C,21°C/28°C,22°C/29°C
1,02/06/2019,25°C/30°C,23°C/28°C,24°C/29°C,24°C/29°C,24°C/29°C
2,03/06/2019,19°C/23°C,17°C/20°C,18°C/21°C,18°C/21°C,17°C/21°C
3,04/06/2019,21°C/26°C,19°C/24°C,20°C/26°C,20°C/26°C,20°C/25°C
4,05/06/2019,13°C/19°C,10°C/16°C,14°C/17°C,12°C/17°C,14°C/17°C
5,06/06/2019,15°C/20°C,14°C/19°C,13°C/19°C,13°C/19°C,14°C/20°C
6,07/06/2019,15°C/16°C,13°C/15°C,14°C/15°C,14°C/15°C,15°C/16°C
7,08/06/2019,15°C/19°C,14°C/18°C,14°C/17°C,14°C/17°C,15°C/19°C
8,09/06/2019,16°C/22°C,15°C/21°C,14°C/20°C,14°C/20°C,16°C/22°C
9,10/06/2019,17°C/18°C,14°C/16°C,16°C/18°C,16°C/18°C,16°C/17°C
10,11/06/2019,16°C/19°C,14°C/18°C,14°C/17°C,14°C/17°C,15°C/19°C
11,12/06/2019,15°C/18°C,13°C/16°C,14°C/16°C,14°C/16°C,15°C/18°C
12,13/06/2019,15°C/20°C,13°C/19°C,15°C/19°C,15°C/19°C,14°C/20°C
13,14/06/2019,18°C/24°C,16°C/21°C,18°C/22°C,18°C/22°C,17°C/21°C
14,15/06/2019,18°C/22°C,16°C/20°C,17°C/20°C,17°C/20°C,17°C/21°C
15,16/06/2019,17°C/22°C,16°C/21°C,16°C/20°C,16°C/20°C,17°C/22°C
16,17/06/2019,21°C/27°C,20°C/26°C,19°C/25°C,19°C/25°C,21°C/26°C
17,18/06/2019,22°C/28°C,21°C/28°C,21°C/26°C,21°C/26°C,22°C/29°C
18,19/06/2019,23°C/24°C,18°C/23°C,21°C/23°C,21°C/23°C,22°C/24°C
19,20/06/2019,16°C/22°C,16°C/20°C,15°C/20°C,15°C/20°C,16°C/20°C
20,21/06/2019,19°C/23°C,17°C/22°C,17°C/21°C,17°C/21°C,17°C/21°C
21,22/06/2019,18°C/25°C,18°C/25°C,17°C/23°C,17°C/23°C,17°C/23°C
22,23/06/2019,22°C/27°C,21°C/27°C,20°C/26°C,20°C/26°C,21°C/28°C
23,24/06/2019,26°C/31°C,26°C/29°C,24°C/29°C,24°C/29°C,25°C/28°C
24,25/06/2019,26°C/32°C,22°C/30°C,25°C/30°C,25°C/30°C,23°C/29°C
25,26/06/2019,26°C/33°C,25°C/33°C,26°C/31°C,26°C/31°C,24°C/31°C
26,27/06/2019,25°C/31°C,25°C/32°C,25°C/31°C,25°C/31°C,23°C/30°C
27,28/06/2019,24°C/31°C,24°C/32°C,22°C/29°C,22°C/29°C,23°C/31°C
28,29/06/2019,26°C/34°C,26°C/34°C,24°C/32°C,24°C/32°C,26°C/35°C
29,30/06/2019,24°C/29°C,21°C/27°C,23°C/28°C,23°C/28°C,22°C/27°C
30,01/05/2019,14°C/21°C,13°C/19°C,14°C/20°C,14°C/20°C,13°C/19°C
31,02/05/2019,12°C/14°C,10°C/13°C,11°C/13°C,11°C/13°C,11°C/14°C
32,03/05/2019,13°C/18°C,11°C/16°C,12°C/17°C,12°C/17°C,12°C/17°C
33,04/05/2019,7°C/11°C,6°C/10°C,6°C/10°C,6°C/10°C,7°C/11°C
34,05/05/2019,9°C/13°C,8°C/11°C,8°C/12°C,8°C/12°C,9°C/12°C
35,06/05/2019,10°C/14°C,9°C/13°C,10°C/13°C,10°C/13°C,9°C/12°C
36,07/05/2019,12°C/16°C,11°C/15°C,10°C/15°C,10°C/15°C,12°C/16°C
37,08/05/2019,12°C/16°C,11°C/16°C,12°C/15°C,12°C/15°C,12°C/16°C
38,09/05/2019,12°C/16°C,11°C/14°C,12°C/15°C,12°C/15°C,12°C/15°C
39,10/05/2019,13°C/17°C,10°C/15°C,12°C/16°C,12°C/16°C,12°C/16°C
